TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
8,exp20260303_164107,2,vendor-b,bf16,11008,8192,4096,2,64,2,32,null,1024,32000,7136,5.56641,343.742
8,exp20260303_164107,1,vendor-b,bf16,11008,8192,4096,2,64,2,32,null,1024,32000,7136,5.56636,343.745
8,exp20260303_164107,6,vendor-b,bf16,11008,8192,4096,2,64,2,32,null,1024,32000,7136,5.56634,343.746
8,exp20260303_164107,5,vendor-b,bf16,11008,8192,4096,2,64,2,32,null,1024,32000,7136,5.56627,343.751
8,exp20260303_164107,4,vendor-b,bf16,11008,8192,4096,2,64,2,32,null,1024,32000,7136,5.56625,343.752
8,exp20260303_164107,7,vendor-b,bf16,11008,8192,4096,2,64,2,32,null,1024,32000,7136,5.56569,343.786
8,exp20260303_092142,7,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.91365,343.851
8,exp20260303_051747,6,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38882,343.863
8,exp20260303_092142,4,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.91338,343.864
8,exp20260303_092142,3,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.91336,343.865
8,exp20260303_051747,4,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38875,343.866
8,exp20260303_051747,0,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38874,343.867
8,exp20260303_051747,5,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38874,343.867
8,exp20260303_092142,2,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.91332,343.867
8,exp20260303_092142,6,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.91332,343.867
8,exp20260303_092142,1,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.9133,343.868
8,exp20260303_092142,5,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.9133,343.868
8,exp20260303_092142,0,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,2048,32000,5728,6.91328,343.869
8,exp20260303_051747,2,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38868,343.87
